VMetaFrameType.PROTO/drone/quat/w,VMetaFrameType.PROTO/drone/quat/x,VMetaFrameType.PROTO/drone/quat/y,VMetaFrameType.PROTO/drone/quat/z,VMetaFrameType.PROTO/drone/location/latitude,VMetaFrameType.PROTO/drone/location/longitude,VMetaFrameType.PROTO/drone/location/altitude_egm96amsl,VMetaFrameType.PROTO/drone/location/sv_count,VMetaFrameType.PROTO/drone/ground_distance,VMetaFrameType.PROTO/drone/speed/north,VMetaFrameType.PROTO/drone/speed/east,VMetaFrameType.PROTO/drone/speed/down,VMetaFrameType.PROTO/drone/battery_percentage,VMetaFrameType.PROTO/drone/animation_in_progress,VMetaFrameType.PROTO/drone/flying_state,VMetaFrameType.PROTO/drone/piloting_mode,VMetaFrameType.PROTO/camera/timestamp,VMetaFrameType.PROTO/camera/base_quat/w,VMetaFrameType.PROTO/camera/base_quat/x,VMetaFrameType.PROTO/camera/base_quat/y,VMetaFrameType.PROTO/camera/base_quat/z,VMetaFrameType.PROTO/camera/quat/w,VMetaFrameType.PROTO/camera/quat/x,VMetaFrameType.PROTO/camera/quat/y,VMetaFrameType.PROTO/camera/quat/z,VMetaFrameType.PROTO/camera/exposure_time,VMetaFrameType.PROTO/camera/iso_gain,VMetaFrameType.PROTO/camera/awb_r_gain,VMetaFrameType.PROTO/camera/awb_b_gain,VMetaFrameType.PROTO/camera/hfov,VMetaFrameType.PROTO/camera/vfov,VMetaFrameType.PROTO/links/0/wifi/goodput,VMetaFrameType.PROTO/links/0/wifi/quality,VMetaFrameType.PROTO/links/0/wifi/rssi,VMetaFrameType.PROTO/automation/follow_me,VMetaFrameType.PROTO/automation/lookat_me,VMetaFrameType.PROTO/automation/angle_locked,VMetaFrameType.PROTO/automation/animation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.53082275390625,0.06256103515625,-0.03326416015625,-0.844482421875,38.63501811027527,-90.23070645332336,154.27734375,20,0.3879852294921875,0,0,0,58,false,FS_MOTOR_RAMPING,PM_MANUAL,1199123038,-0.532470703125,0,0,-0.84637451171875,-0.392578125,-0.57177734375,0.3597412109375,-0.6240234375,4.98828125,146,2.05322265625,1.40478515625,1.2042771577835083,0.7377424836158752,8011,4,-48,false,false,false,ANIM_NONE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.53082275390625,0.06256103515625,-0.03326416015625,-0.844482421875,38.63501811027527,-90.23070645332336,154.27734375,20,0.3879852294921875,0,0,0,58,false,FS_MOTOR_RAMPING,PM_MANUAL,1199123038,-0.532470703125,0,0,-0.84637451171875,-0.392578125,-0.57177734375,0.3597412109375,-0.6240234375,4.98828125,146,2.05322265625,1.40478515625,1.2042771577835083,0.7377424836158752,8011,4,-48,false,false,false,ANIM_NONE
-0.53082275390625,0.0625,-0.03326416015625,-0.844482421875,38.63501811027527,-90.23070645332336,154.27734375,20,0.3879852294921875,0,0,0,58,false,FS_MOTOR_RAMPING,PM_MANUAL,1199156400,-0.532470703125,0,0,-0.84637451171875,-0.392578125,-0.57183837890625,0.3597412109375,-0.6240234375,4.98828125,146,2.05322265625,1.40478515625,1.2042771577835083,0.7377424836158752,8011,4,-48,false,false,false,ANIM_NONE
-0.53082275390625,0.0625,-0.03326416015625,-0.844482421875,38.63501811027527,-90.23070645332336,154.27734375,20,0.3879852294921875,0,0,0,58,false,FS_MOTOR_RAMPING,PM_MANUAL,1199156400,-0.532470703125,0,0,-0.84637451171875,-0.392578125,-0.57183837890625,0.3597412109375,-0.6240234375,4.98828125,146,2.05322265625,1.40478515625,1.2042771577835083,0.7377424836158752,8011,4,-48,false,false,false,ANIM_NONE
-0.53082275390625,0.0625,-0.03326416015625,-0.844482421875,38.63501811027527,-90.23070645332336,154.27734375,20,0.3879852294921875,0,0,0,58,false,FS_MOTOR_RAMPING,PM_MANUAL,1199189765,-0.532470703125,0,0,-0.846435546875,-0.392578125,-0.57183837890625,0.3597412109375,-0.6240234375,4.98828125,146,2.05322265625,1.40478515625,1.2042771577835083,0.7377424836158752,8011,4,-48,false,false,false,ANIM_NONE
-0.53082275390625,0.0625,-0.03326416015625,-0.844482421875,38.63501811027527,-90.23070645332336,154.27734375,20,0.3879852294921875,0,0,0,58,false,FS_MOTOR_RAMPING,PM_MANUAL,1199189765,-0.532470703125,0,0,-0.846435546875,-0.392578125,-0.57183837890625,0.3597412109375,-0.6240234375,4.98828125,146,2.05322265625,1.40478515625,1.2042771577835083,0.7377424836158752,8011,4,-48,false,false,false,ANIM_NONE
-0.53076171875,0.06256103515625,-0.03326416015625,-0.844482421875,38.63501811027527,-90.23070645332336,154.27734375,20,0.3879852294921875,0,0,0,58,false,FS_MOTOR_RAMPING,PM_MANUAL,1199223126,-0.532470703125,0,0,-0.84637451171875,-0.392578125,-0.57183837890625,0.3597412109375,-0.6240234375,4.98828125,146,2.05322265625,1.40478515625,1.2042771577835083,0.7377424836158752,8011,4,-48,false,false,false,ANIM_NONE
-0.53076171875,0.06256103515625,-0.03326416015625,-0.844482421875,38.63501811027527,-90.23070645332336,154.27734375,20,0.3879852294921875,0,0,0,58,false,FS_MOTOR_RAMPING,PM_MANUAL,1199223126,-0.532470703125,0,0,-0.84637451171875,-0.392578125,-0.57183837890625,0.3597412109375,-0.6240234375,4.98828125,146,2.05322265625,1.40478515625,1.2042771577835083,0.7377424836158752,8011,4,-48,false,false,false,ANIM_NONE
