drone/quat/w,drone/quat/x,drone/quat/y,drone/quat/z,drone/location/latitude,drone/location/longitude,drone/location/altitude_egm96amsl,drone/location/sv_count,drone/ground_distance,drone/speed/north,drone/speed/east,drone/speed/down,drone/battery_percentage,drone/animation_in_progress,drone/flying_state,drone/piloting_mode,camera/timestamp,camera/base_quat/w,camera/base_quat/x,camera/base_quat/y,camera/base_quat/z,camera/quat/w,camera/quat/x,camera/quat/y,camera/quat/z,camera/exposure_time,camera/iso_gain,camera/awb_r_gain,camera/awb_b_gain,camera/hfov,camera/vfov,links/0/wifi/goodput,links/0/wifi/quality,links/0/wifi/rssi,automation/follow_me,automation/lookat_me,automation/angle_locked,automation/animation
-0.99237060546875,-0.01519775390625,-0.07086181640625,-0.0994873046875,38.63501286506653,-90.23073625564575,165.68359375,21,11.733627319335938,-0.1015625,-0.03125,-6.0234375,79,false,FS_FLYING,PM_MANUAL,542874400,-0.994873046875,0,0,-0.100830078125,-0.78955078125,-0.06134033203125,0.60528564453125,-0.08001708984375,3.7734375,100,1.98974609375,1.422607421875,1.2042089700698853,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99249267578125,-0.016357421875,-0.0689697265625,-0.0992431640625,38.63501286506653,-90.23073625564575,165.86328125,21,11.913467407226562,-0.1015625,-0.03515625,-6.01953125,79,false,FS_FLYING,PM_MANUAL,542907765,-0.994873046875,0,0,-0.100830078125,-0.78955078125,-0.06134033203125,0.60528564453125,-0.08001708984375,3.7734375,100,1.98974609375,1.422607421875,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99249267578125,-0.016357421875,-0.0689697265625,-0.0992431640625,38.63501286506653,-90.23073625564575,165.86328125,21,11.913467407226562,-0.1015625,-0.03515625,-6.01953125,79,false,FS_FLYING,PM_MANUAL,542907765,-0.994873046875,0,0,-0.100830078125,-0.78955078125,-0.06134033203125,0.60528564453125,-0.08001708984375,3.7734375,100,1.98974609375,1.422607421875,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99261474609375,-0.018310546875,-0.0662841796875,-0.09954833984375,38.63501286506653,-90.23073625564575,166.1015625,21,12.152984619140625,-0.1015625,-0.0390625,-6.015625,79,false,FS_FLYING,PM_MANUAL,542941126,-0.994873046875,0,0,-0.100830078125,-0.78948974609375,-0.06134033203125,0.6053466796875,-0.08001708984375,3.7734375,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99261474609375,-0.018310546875,-0.0662841796875,-0.09954833984375,38.63501286506653,-90.23073625564575,166.1015625,21,12.152984619140625,-0.1015625,-0.0390625,-6.015625,79,false,FS_FLYING,PM_MANUAL,542941126,-0.994873046875,0,0,-0.100830078125,-0.78948974609375,-0.06134033203125,0.6053466796875,-0.08001708984375,3.7734375,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99261474609375,-0.0196533203125,-0.06494140625,-0.09991455078125,38.63501286506653,-90.23073625564575,166.28125,21,12.333282470703125,-0.1015625,-0.04296875,-6.01953125,79,false,FS_FLYING,PM_MANUAL,542974489,-0.994873046875,0,0,-0.100830078125,-0.78948974609375,-0.06134033203125,0.6053466796875,-0.08001708984375,3.7734375,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99261474609375,-0.0196533203125,-0.06494140625,-0.09991455078125,38.63501286506653,-90.23073625564575,166.28125,21,12.333282470703125,-0.1015625,-0.04296875,-6.01953125,79,false,FS_FLYING,PM_MANUAL,542974489,-0.994873046875,0,0,-0.100830078125,-0.78948974609375,-0.06134033203125,0.6053466796875,-0.08001708984375,3.7734375,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99267578125,-0.02166748046875,-0.06427001953125,-0.09991455078125,38.63501286506653,-90.23073625564575,166.4609375,21,12.513229370117188,-0.09765625,-0.05078125,-6.01953125,79,false,FS_FLYING,PM_MANUAL,543007856,-0.994873046875,0,0,-0.100830078125,-0.7894287109375,-0.06134033203125,0.60540771484375,-0.08001708984375,3.7734375,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99267578125,-0.02166748046875,-0.06427001953125,-0.09991455078125,38.63501286506653,-90.23073625564575,166.4609375,21,12.513229370117188,-0.09765625,-0.05078125,-6.01953125,79,false,FS_FLYING,PM_MANUAL,543007856,-0.994873046875,0,0,-0.100830078125,-0.7894287109375,-0.06134033203125,0.60540771484375,-0.08001708984375,3.7734375,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99261474609375,-0.02459716796875,-0.06396484375,-0.09979248046875,38.63501262664795,-90.23073625564575,166.671875,22,12.723709106445312,-0.09375,-0.05078125,-6.015625,79,false,FS_FLYING,PM_MANUAL,543041215,-0.994873046875,0,0,-0.100830078125,-0.7894287109375,-0.06134033203125,0.60540771484375,-0.08001708984375,3.75390625,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99261474609375,-0.02459716796875,-0.06396484375,-0.09979248046875,38.63501262664795,-90.23073625564575,166.671875,22,12.723709106445312,-0.09375,-0.05078125,-6.015625,79,false,FS_FLYING,PM_MANUAL,543041215,-0.994873046875,0,0,-0.100830078125,-0.7894287109375,-0.06134033203125,0.60540771484375,-0.08001708984375,3.75390625,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99261474609375,-0.02716064453125,-0.06396484375,-0.09930419921875,38.635014295578,-90.23073744773865,166.89453125,22,12.933853149414062,-0.03515625,-0.046875,-6.015625,79,false,FS_FLYING,PM_MANUAL,543074581,-0.994873046875,0,0,-0.100830078125,-0.7894287109375,-0.06134033203125,0.60546875,-0.08001708984375,3.75390625,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99261474609375,-0.02716064453125,-0.06396484375,-0.09930419921875,38.635014295578,-90.23073744773865,166.89453125,22,12.933853149414062,-0.03515625,-0.046875,-6.015625,79,false,FS_FLYING,PM_MANUAL,543074581,-0.994873046875,0,0,-0.100830078125,-0.7894287109375,-0.06134033203125,0.60546875,-0.08001708984375,3.75390625,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99237060546875,-0.02911376953125,-0.0670166015625,-0.09893798828125,38.635014057159424,-90.23073744773865,167.07421875,22,13.113616943359375,-0.03515625,-0.04296875,-6.01953125,79,false,FS_FLYING,PM_MANUAL,543107944,-0.994873046875,0,0,-0.100830078125,-0.7894287109375,-0.06134033203125,0.60546875,-0.08001708984375,3.75390625,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99237060546875,-0.02911376953125,-0.0670166015625,-0.09893798828125,38.635014057159424,-90.23073744773865,167.07421875,22,13.113616943359375,-0.03515625,-0.04296875,-6.01953125,79,false,FS_FLYING,PM_MANUAL,543107944,-0.994873046875,0,0,-0.100830078125,-0.7894287109375,-0.06134033203125,0.60546875,-0.08001708984375,3.75390625,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99188232421875,-0.0316162109375,-0.0733642578125,-0.0985107421875,38.635014057159424,-90.23073744773865,167.3125,22,13.354141235351562,-0.0390625,-0.04296875,-6.01953125,79,false,FS_FLYING,PM_MANUAL,543141305,-0.994873046875,0,0,-0.100830078125,-0.78936767578125,-0.06134033203125,0.60546875,-0.08001708984375,3.703125,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99188232421875,-0.0316162109375,-0.0733642578125,-0.0985107421875,38.635014057159424,-90.23073744773865,167.3125,22,13.354141235351562,-0.0390625,-0.04296875,-6.01953125,79,false,FS_FLYING,PM_MANUAL,543141305,-0.994873046875,0,0,-0.100830078125,-0.78936767578125,-0.06134033203125,0.60546875,-0.08001708984375,3.703125,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99151611328125,-0.03271484375,-0.07855224609375,-0.097900390625,38.635014057159424,-90.23073744773865,167.4921875,22,13.533950805664062,-0.04296875,-0.04296875,-6.015625,79,false,FS_FLYING,PM_MANUAL,543174667,-0.994873046875,0,0,-0.100830078125,-0.78936767578125,-0.06134033203125,0.60546875,-0.08001708984375,3.703125,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99151611328125,-0.03271484375,-0.07855224609375,-0.097900390625,38.635014057159424,-90.23073744773865,167.4921875,22,13.533950805664062,-0.04296875,-0.04296875,-6.015625,79,false,FS_FLYING,PM_MANUAL,543174667,-0.994873046875,0,0,-0.100830078125,-0.78936767578125,-0.06134033203125,0.60546875,-0.08001708984375,3.703125,100,1.986083984375,1.423583984375,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.9910888671875,-0.03338623046875,-0.08392333984375,-0.09735107421875,38.635014057159424,-90.23073744773865,167.734375,22,13.773712158203125,-0.0546875,-0.0390625,-6.01171875,79,false,FS_FLYING,PM_MANUAL,543208035,-0.994873046875,0,0,-0.100830078125,-0.78936767578125,-0.06134033203125,0.60552978515625,-0.08001708984375,3.65234375,100,1.98388671875,1.423095703125,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.9910888671875,-0.03338623046875,-0.08392333984375,-0.09735107421875,38.635014057159424,-90.23073744773865,167.734375,22,13.773712158203125,-0.0546875,-0.0390625,-6.01171875,79,false,FS_FLYING,PM_MANUAL,543208035,-0.994873046875,0,0,-0.100830078125,-0.78936767578125,-0.06134033203125,0.60552978515625,-0.08001708984375,3.65234375,100,1.98388671875,1.423095703125,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.9908447265625,-0.03375244140625,-0.08709716796875,-0.0972900390625,38.635014057159424,-90.23073744773865,167.9140625,22,13.953323364257812,-0.0703125,-0.04296875,-6.0078125,79,false,FS_FLYING,PM_MANUAL,543241392,-0.994873046875,0,0,-0.100830078125,-0.78936767578125,-0.06134033203125,0.60552978515625,-0.08001708984375,3.65234375,100,1.98388671875,1.423095703125,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.9908447265625,-0.03375244140625,-0.08709716796875,-0.0972900390625,38.635014057159424,-90.23073744773865,167.9140625,22,13.953323364257812,-0.0703125,-0.04296875,-6.0078125,79,false,FS_FLYING,PM_MANUAL,543241392,-0.994873046875,0,0,-0.100830078125,-0.78936767578125,-0.06134033203125,0.60552978515625,-0.08001708984375,3.65234375,100,1.98388671875,1.423095703125,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99072265625,-0.034423828125,-0.08782958984375,-0.097412109375,38.63501477241516,-90.23073816299438,168.12890625,22,14.163604736328125,-0.08203125,-0.04296875,-6.00390625,79,false,FS_FLYING,PM_MANUAL,543274759,-0.994873046875,0,0,-0.100830078125,-0.78936767578125,-0.06134033203125,0.60552978515625,-0.08001708984375,3.59375,100,1.98388671875,1.423095703125,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.99072265625,-0.034423828125,-0.08782958984375,-0.097412109375,38.63501477241516,-90.23073816299438,168.12890625,22,14.163604736328125,-0.08203125,-0.04296875,-6.00390625,79,false,FS_FLYING,PM_MANUAL,543274759,-0.994873046875,0,0,-0.100830078125,-0.78936767578125,-0.06134033203125,0.60552978515625,-0.08001708984375,3.59375,100,1.98388671875,1.423095703125,1.2042771577835083,0.7377424836158752,9233,4,-49,false,false,false,ANIM_NONE
-0.9908447265625,-0.03436279296875,-0.08673095703125,-0.09735107421875,38.63501477241516,-90.23073816299438,168.33984375,22,14.373580932617188,-0.1015625,-0.04296875,-6.00390625,79,false,FS_FLYING,PM_MANUAL,543308120,-0.994873046875,0,0,-0.100830078125,-0.789306640625,-0.06134033203125,0.60552978515625,-0.08001708984375,3.59375,100,1.98388671875,1.423095703125,1.2042771577835083,0.7377424836158752,10524,4,-55,false,false,false,ANIM_NONE
-0.9908447265625,-0.03436279296875,-0.08673095703125,-0.09735107421875,38.63501477241516,-90.23073816299438,168.33984375,22,14.373580932617188,-0.1015625,-0.04296875,-6.00390625,79,false,FS_FLYING,PM_MANUAL,543308120,-0.994873046875,0,0,-0.100830078125,-0.789306640625,-0.06134033203125,0.60552978515625,-0.08001708984375,3.59375,100,1.98388671875,1.423095703125,1.2042771577835083,0.7377424836158752,10524,4,-55,false,false,false,ANIM_NONE
